;index;data_account;data_amount;data_contract_address;data_evt_block_number;data_evt_block_time;data_evt_index;data_evt_tx_hash;data_writeAmount
31;31;\xc2204f33c47f26ac340c5f684889341b517e900c;0.2647957179787694;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11200779;2020-11-06 01:31:45+00:00;128;\x53e5b9b3b6e0d28a8fe495842eea845bfba8b20d826936223ac746b458a8ad11;2640097669251999238279
32;32;\xd8e3e3ec5643e451a4a1ca57704dfa6353898ebc;1.0017996941199998;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11201359;2020-11-06 03:40:46+00:00;220;\x83fe2f059d9d5c7fcaa0736ef702011df34d5b6f61947886ca380246a0369744;9999999999649327995737
33;33;\x378e6ffd72d41626f6835b282a5ce4b24c349c9e;0.3491068281019947;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11208855;2020-11-07 07:08:09+00:00;218;\x578cad6a51c1716336c6cff67b6d2b0a8efab50af99b95fde31f70aebfc8939f;3497676286515868930196
34;34;\xfeec05a103f3ee7c4c42ee1d799b39a5b4c62dbf;1.5259485677620512;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11209479;2020-11-07 09:21:26+00:00;143;\x0e9ef189c2853978ab38f7876d108c1fba70336d6298f3c13c943eb388365df9;15291701933846901746376
35;35;\xdf96770213338cbc4a34d6bdc3722056b8cd4d1f;0.049824;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11218226;2020-11-08 18:01:26+00:00;264;\xd8110f4569c54626645fd374899fc5106645b0ca5f9c593a8cb7f96486483d69;499466166873503956156
36;36;\xdde4812f8185ce19782420f4068f09e8b45425db;0.8962575648965607;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11219766;2020-11-08 23:25:18+00:00;121;\xb1bd0a8b74fa1f1f3aefa7cff6c2f609d5c809054398270a2612d0528324a213;8985000000000001144817
37;37;\x328809a567b87b6123462c3062e8438bbb75c1c5;0.1993683969376998;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11220486;2020-11-09 02:04:23+00:00;150;\xe3555cdf0644fc4d9775d0339cdb3669da6c799e4a2c5af0446ee9fa889aed47;1998672163723353674085
38;38;\xeb91fbd00444fcb9078030933a9beab5a8c731fc;1.18493;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11224666;2020-11-09 17:27:21+00:00;279;\x702400592c1a0d495af6bb18bc01bc9d05f0eec27ccccc6ba29df898ffb91adb;11899952467402818580486
39;39;\xaae102ca930508e6da30924bf0374f0f247729d5;16.0209;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11225483;2020-11-09 20:29:26+00:00;167;\x7a038004faf547f9fbb37fa1d0ea81ff79ca1bd9b499d801c3569ace932d4a36;160892125857072471004711
40;40;\x7fb7e28b8bbba6a0c28c8ac6a522c2fefe44ee96;0.99428838;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11251163;2020-11-13 19:12:34+00:00;141;\x87ef0f4db9fd5f67ce5ddeed50ab728ea2bc49fc78e8df7a209263e1885510f8;9983052664569531992110
41;41;\x6326b8d132ae255e011fa5107576deeb86abd2f3;0.6660628121524054;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11255775;2020-11-14 12:11:22+00:00;58;\x02f082da080d21f7242228c9528f3c4d378541e8f316298b04c52db16e8e6a69;6687673573887846093641
42;42;\x1108f73da69ef5b64b2410ee9beaae2abb2fa10e;0.14940838314532653;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11271114;2020-11-16 20:35:39+00:00;278;\x95e120007de7c2dbee05ecee9021d134da07e9a12cdd08cec88d030f85f464fe;1499999999999999888898
43;43;\x8a2ff4f48a2aef354d96339946b03fd740293bce;0.9939153362500467;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11271656;2020-11-16 22:37:31+00:00;27;\xb9b011b28b6a74d73c62396f3afd3c81e7ad941a2d06fb3c8fd220de38e8a350;9978376644323468728930
44;44;\x1ebb814c9ef016e6012be299ed834f1ddced1529;14.940093068958218;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11275377;2020-11-17 12:14:19+00:00;243;\x2f6f283067face9f3084bb8d239377bcb71c517205f2ddb2cec824c0a9a13724;150000050959324633184415
45;45;\xe73619697140698bd6466b1a044a0e9f5508272a;0.3313;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11277841;2020-11-17 21:20:00+00:00;275;\x3ec34d8b1216aeb7e2c20c3344d8f4b2915386253915cd5192c4a4205dedbad4;3327005126682840627066
46;46;\x213353406af8bc04023e497a9997903509615718;0.42737;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11278877;2020-11-18 01:10:58+00:00;144;\x75f9c60860d4eec1c97611bd48608710096396b92a706db1d5b96f0314159eb2;4291810096907783850990
47;47;\xac79afd3236bdbd87c746b77e55f6d7964adb6b7;0.23896936893801632;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11279931;2020-11-18 05:02:18+00:00;178;\x6ac1698bae285b0449af03fc7ed7325a05d1573c8671976ede475e64995a6ba9;2399999999999999999312
48;48;\xe0e8c1d735698060477e79a8e4c20276fc2ec7a7;2.983165160913355;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11280722;2020-11-18 08:01:23+00:00;280;\x871c4663c91626ad0fd0ce61a2c065312570752163fdc970f5dc65c911f8c932;29970392212994152440711
49;49;\xafbb7ebfd5ee005dbffce16d54540c91647d6643;0.02771069531661081;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11282263;2020-11-18 13:40:34+00:00;175;\x3dce2a6c607b8e2abe69d2166f7eb765259654fb02ec01aaea9c6e42adeb337b;278396647659789488494
